"id_stone","id_person"
20000074,400422
30000008,400518
20000294,400168
20000271,400409
20000174,400461
20000234,400025
20000099,400478
20000041,400333
20000174,400368
20000232,400264
20000046,400465
30000127,400283
20000053,400235
20000036,400344
20000010,400090
20000041,400333
20000251,400194
20000147,400119
20000326,400331
20000160,400238
30000041,400336
30000106,400154
20000059,400065
20000281,400287
20000250,400209
20000048,400224
20000223,400085
20000143,400483
20000109,400310
30000035,400525
20000176,400417
20000052,400135
30000110,400020
20000039,400201
30000079,400352
20000009,400124
20000335,400477
20000321,400403
20000295,400405
20000164,400362
20000162,400485
20000028,400497
20000215,400028
20000306,400262
30000047,400048
20000133,400531
20000076,400178
20000049,400398
30000096,400266
20000196,400347
20000173,400305
20000162,400384
20000305,400052
20000042,400181
20000130,400153
20000367,400221
20000141,400175
20000080,400141
20000170,400345
20000303,400230
20000260,400428
20000182,400053
20000354,400324
20000108,400433
20000238,400498
30000097,400278
20000035,400514
30000050,400246
20000142,400291
20000071,400399
20000065,400179
30000101,400417
20000159,400166
20000173,400295
20000174,400149
20000145,400529
20000087,400379
20000039,400200
30000104,400439
30000092,400385
20000292,400222
20000197,400061
20000026,400105
30000079,400260
20000236,400476
20000047,400249
30000158,400504
30000042,400203
20000156,400260
20000218,400188
30000005,400099
30000107,400295
20000286,400094
30000028,400463
30000074,400029
30000157,400511
20000209,400335
20000042,400332
20000078,400183
20000305,400489
20000118,400245
30000088,400229
20000302,400256
20000365,400254
20000303,400518
20000159,400475
20000201,400501
20000080,400301
20000118,400406
20000363,400233
20000227,400197
20000122,400022
30000111,400378
20000119,400342
20000229,400279
20000193,400513
30000039,400444
20000177,400126
20000131,400314
20000182,400053
30000038,400187
20000263,400404
20000202,400097
20000227,400215
20000011,400378
20000155,400117
20000117,400050
20000352,400024
20000100,400103
20000313,400136
20000013,400015
20000221,400401
30000097,400345
20000224,400127
30000027,400070
20000297,400218
20000003,400017
20000211,400157
20000113,400333
20000165,400002
20000330,400104
20000172,400014
20000335,400459
20000363,400304
20000213,400422
20000351,400365
30000099,400295
30000037,400307
20000186,400370
30000099,400220
20000275,400357
20000030,400156
20000099,400444
20000072,400090
30000009,400145
20000233,400038
20000277,400285
20000108,400430
20000082,400130
20000026,400109
20000290,400268
30000034,400176
30000042,400176
20000251,400150
20000147,400173
20000086,400371
20000147,400269
20000138,400446
20000298,400372
20000364,400327
20000131,400481
20000085,400179
20000340,400448
20000113,400333
20000283,400237
20000079,400315
20000048,400030
20000192,400492
30000137,400492
20000077,400070
20000234,400367
20000348,400402
30000128,400241
30000135,400488
20000344,400084
20000301,400009
20000183,400137
20000011,400284
20000364,400494
30000010,400536
20000040,400236
20000158,400213
20000265,400019
30000161,400089
30000034,400381
20000207,400219
20000089,400068
20000176,400323
20000179,400033
20000057,400178
30000147,400465
20000126,400520
20000315,400054
20000088,400412
30000125,400491
20000234,400026
20000150,400113
20000288,400439
20000047,400107
20000203,400252
20000343,400499
20000274,400393
20000006,400397
20000214,400071
20000081,400242
20000060,400046
20000054,400053
20000356,400380
20000087,400418
20000175,400258
30000114,400409
20000249,400282
20000289,400491
30000033,400130
20000320,400271
30000054,400096
30000061,400531
20000098,400445
20000061,400121
20000352,400538
20000252,400134
20000202,400056
30000117,400393
20000326,400414
20000267,400048
20000168,400075
30000038,400437
20000191,400369
30000135,400422
30000071,400510
20000061,400503
20000086,400267
20000295,400505
20000301,400079
30000100,400063
20000076,400178
20000029,400162
20000101,400077
30000126,400249
20000352,400161
20000250,400389
20000156,400408
20000133,400334
20000113,400333
20000108,400031
30000050,400406
20000290,400431
20000089,400523
20000100,400138
20000127,400210
20000306,400519
30000016,400438
20000104,400449
20000209,400074
20000213,400422
30000061,400481
30000041,400175
30000137,400318
20000222,400348
30000151,400272
20000198,400042
30000092,400485
20000362,400010
20000326,400091
20000364,400391
20000282,400287
20000059,400057
20000032,400039
20000025,400532
20000139,400080
20000049,400359
20000004,400295
30000030,400189
30000156,400455
20000231,400341
20000230,400286
20000236,400524
20000348,400193
30000074,400010
20000172,400358
20000140,400239
20000025,400159
20000133,400480
20000075,400008
20000034,400206
20000141,400203
20000347,400112
20000094,400337
20000138,400471
20000266,400382
20000185,400184
30000060,400342
20000236,400512
20000185,400045
20000027,400443
20000213,400487
20000033,400001
30000011,400052
20000241,400434
20000163,400356
20000206,400125
20000233,400020
20000268,400378
20000219,400069
30000148,400339
30000119,400132
20000308,400353
20000237,400191
30000149,400031
20000023,400440
20000241,400510
20000055,400277
20000249,400129
30000029,400229
20000173,400220
20000064,400535
20000180,400376
20000044,400034
20000286,400095
20000078,400463
30000161,400112
20000318,400265
20000046,400447
30000102,400426
20000333,400007
30000076,400328
20000271,400051
30000161,400312
20000353,400151
20000299,400096
20000213,400488
20000083,400381
20000284,400349
20000197,400067
20000171,400072
20000088,400307
20000033,400300
20000129,400196
20000256,400240
30000023,400076
30000037,400412
20000274,400507
20000073,400437
20000051,400182
20000186,400223
30000100,400258
20000218,400229
20000195,400295
20000257,400484
30000030,400341
20000219,400155
20000129,400517
20000355,400363
20000044,400040
20000367,400287
20000296,400234
20000102,400165
30000010,400346
20000267,400302
20000054,400053
20000175,400063
30000158,400458
30000099,400305
20000276,400386
20000145,400142
20000113,400333
20000136,400317
20000222,400280
30000049,400264
20000324,400346
30000043,400059
20000223,400526
20000105,400062
20000189,400464
20000155,400294
30000127,400279
20000301,400308
30000129,400155
20000236,400078
20000068,400217
20000029,400212
20000167,400158
30000047,400302
20000346,400208
20000150,400287
20000226,400436
20000107,400467
30000018,400398
30000124,400439
20000361,400407
30000023,400070
20000198,400041
20000275,400364
20000181,400154
20000156,400352
20000338,400147
30000151,400366
30000035,400090
20000153,400392
20000094,400175
20000083,400176
20000063,400148
20000259,400216
20000194,400144
20000294,400115
20000319,400521
20000116,400435
20000116,400073
20000001,400306
20000229,400281
20000128,400441
20000138,400395
20000169,400266
30000003,400322
20000340,400099
20000210,400064
30000008,400230
20000103,400442
20000080,400301
30000144,400105
20000177,400118
30000029,400318
20000135,400388
20000120,400093
20000074,400422
20000062,400416
20000245,400469
20000343,400139
20000199,400410
30000017,400422
20000035,400163
20000024,400301
20000038,400049
30000058,400330
20000345,400011
30000088,400188
30000027,400173
20000278,400195
20000217,400534
30000049,400462
20000113,400333
20000056,400070
30000157,400479
30000093,400283
20000154,400108
30000090,400538
20000232,400140
30000075,400304
20000121,400012
30000031,400301
20000076,400338
20000234,400003
20000041,400333
20000289,400172
20000329,400037
20000132,400123
30000076,400494
20000334,400321
30000057,400481
20000082,400106
30000071,400432
20000086,400421
20000188,400055
30000129,400069
20000202,400170
20000350,400527
20000239,400004
20000293,400098
20000199,400259
20000007,400079
20000091,400325
20000009,400522
20000234,400025
20000218,400387
20000273,400533
20000041,400333
30000104,400033
20000128,400211
20000073,400186
20000038,400257
20000367,400355
20000014,400466
20000263,400276
20000091,400204
30000024,400130
20000351,400509
30000129,400453
20000141,400321
20000245,400515
20000103,400101
20000357,400167
30000011,400383
30000144,400109
20000144,400528
30000102,400118
30000128,400309
20000249,400133
20000056,400076
20000338,400457
20000237,400290
20000125,400111
20000055,400190
30000018,400359
20000191,400180
20000308,400006
20000336,400470
30000121,400157
20000278,400455
20000252,400500
20000068,400301
30000111,400202
20000224,400425
20000053,400178
20000005,400293
20000178,400253
20000093,400016
20000266,400496
30000058,400319
20000235,400289
20000198,400174
30000151,400511
30000088,400086
20000007,400079
20000119,400313
20000063,400427
20000011,400378
20000300,400152
20000051,400472
20000037,400114
20000043,400043
20000362,400029
20000215,400274
20000121,400192
20000327,400414
20000139,400021
20000230,400326
20000304,400145
20000068,400301
20000045,400027
30000060,400318
20000226,400066
20000211,400320
20000195,400232
20000257,400474
20000281,400351
30000118,400364
20000332,400341
20000324,400536
20000335,400508
30000096,400092
30000054,400005
20000002,400299
30000028,400183
20000169,400092
20000148,400452
30000091,400468
30000061,400334
20000169,400278
20000212,400248
20000041,400083
20000154,400329
20000293,400096
20000248,400506
20000018,400419
20000322,400214
20000181,400343
20000193,400454
20000065,400179
30000130,400373
20000219,400453
30000125,400172
20000115,400413
20000154,400091
30000005,400244
20000217,400390
20000254,400122
30000147,400377
20000365,400490
20000285,400044
30000117,400507
30000082,400198
20000351,400261
30000042,400321
20000333,400394
20000301,400079
30000121,400199
30000124,400456
20000329,400105
20000232,400462
20000109,400145
20000347,400128
30000031,400141
30000075,400233
20000325,400420
20000333,400018
20000314,400309
20000015,400429
20000161,400160
20000144,400058
20000130,400482
30000101,400323
20000304,400146
30000043,400055
20000168,400292
20000062,400486
20000007,400537
20000358,400023
30000026,400338
30000017,400289
20000125,400495
30000130,400374
30000026,400176
20000353,400468
20000288,400456
20000002,400169
30000114,400051
20000153,400298
20000024,400301
20000143,400350
30000139,400522
30000119,400378
20000177,400423
30000016,400100
20000116,400013
30000024,400177
30000156,400195
20000315,400226
30000106,400343
30000058,400481
30000024,400106
30000009,400146
20000004,400255
20000235,400275
20000127,400273
30000076,400391
20000352,400082
20000188,400060
30000139,400124
20000020,400438
20000239,400225
20000203,400270
30000126,400107
20000100,400102
20000048,400228
20000045,400116
30000149,400432
20000085,400179
20000313,400378
20000126,400375
20000339,400460
30000057,400153
20000020,400100
20000200,400250
30000093,400378
30000003,400162
20000167,400415
20000072,400525
20000178,400032
20000041,400333
20000251,400396
20000170,400278
20000084,400530
20000154,400091
30000096,400278
20000066,400243
20000313,400378
20000135,400231
20000346,400205
20000107,400295
20000192,400316
20000008,400227
30000091,400151
20000334,400502
20000320,400451
20000077,400173
30000103,400032
30000147,400311
20000202,400185
20000268,400378
20000218,400087
20000339,400263
20000318,400375
30000033,400107
20000254,400493
30000090,400161
20000277,400164
20000053,400178
20000043,400400
20000047,400297
20000307,400143
20000184,400047
20000052,400340
20000079,400229
30000039,400479
20000111,400096
30000103,400253
30000107,400467
20000074,400289
20000349,400473
20000326,400091
20000300,400296
20000248,400360
30000148,400035
20000327,400106
20000031,400303
30000082,400309
20000344,400207
20000131,400330
20000256,400171
20000093,400110
20000003,400251
20000282,400516
30000110,400036
30000102,400126
20000235,400289
20000302,400247
20000088,400424
20000332,400189
20000046,400311
20000284,400120
20000283,400081
20000074,400289
20000327,400088
20000322,400458
20000350,400354
20000109,400198
20000307,400411
20000040,400450
20000179,400439
20000057,400131
30000118,400361
20000246,400288
20000057,400178
