"id","label","wkt","wikidata_id","townland_label","barony_label","county_label","province_label","country_label"
40000001,"Bennettsbridge (Ogham Site)",NULL,"Q106628070",NULL,NULL,"Kerry","Munster","Ireland"
40000002,"Drumlohan (Ogham Site)","POINT(-7.468056 52.163056)","Q85396849","Drumlohan","Decies without Drum","Waterford","Munster","Ireland"
40000003,"Aghacarrible (Ogham Site)","POINT(-10.176111 52.129444)","Q85393952","Aghacarrible","Corkaguiny","Kerry","Munster","Ireland"
40000004,"Aghaleague (Ogham Site)","POINT(-9.330833 54.260278)","Q85390391","Aghaleague","Tirawley","Mayo","Connacht","Ireland"
40000005,"Aghascrebagh (Ogham Site)","POINT(-7.047778 54.699444)","Q85392826","Aghascrebagh","Strabane Upper","Tyrone","Ulster","Northern Ireland"
40000006,"Aglish (Ogham Site)","POINT(-10.138056 52.133056)","Q85393955","Aglish","Corkaguiny","Kerry","Munster","Ireland"
40000007,"Ahalisky (Ogham Site)","POINT(-8.846944 51.678889)","Q85394002","Ahalisky","Carbery East (East Division)","Cork","Munster","Ireland"
40000008,"Annagap (Ogham Site)","POINT(-10.063056 52.159167)","Q85394130","Annagap","Corkaguiny","Kerry","Munster","Ireland"
40000009,"Annascaul (Ogham Site)","POINT(-10.061076 52.152143)","Q106628059","Annagap","Corkaguiny","Kerry","Munster","Ireland"
40000010,"Ardcanaght (Ogham Site)","POINT(-9.733611 52.165556)","Q85396815","Ardcanaght","Trughanacmy","Kerry","Munster","Ireland"
40000011,"Ardfert (Ogham Site)","POINT(-9.772778 52.328889)","Q85394024","Ardfert","Clanmaurice","Kerry","Munster","Ireland"
40000012,"Ardocheasty (Ogham Site)","POINT(-7.729167 51.944167)","Q85396905","Ardocheasty","Decies Within Drum","Waterford","Munster","Ireland"
40000013,"Ardrinane (Ogham Site)","POINT(-10.049167 52.143056)","Q85394026","Ardrinane","Corkaguiny","Kerry","Munster","Ireland"
40000014,"Ardwanig (Ogham Site)","POINT(-9.662778 52.147778)","Q85396974","Ardywanig","Magunihy","Kerry","Munster","Ireland"
40000015,"Arraglen (Ogham Site)","POINT(-10.236944 52.2675)","Q85394028","Arraglen","Corkaguiny","Kerry","Munster","Ireland"
40000016,"Aultagh (Ogham Site)","POINT(-9.088056 51.770833)","Q85394004","Aultagh","Carbery East (West Division)","Cork","Munster","Ireland"
40000017,"Ballineesteenig (Ogham Site)","POINT(-10.2075 52.140556)","Q85393961","Ballineesteenig","Corkaguiny","Kerry","Munster","Ireland"
40000018,"Ballingarry (Ogham Site)","POINT(-8.377222 52.381944)","Q85396837","Ballingarry","Coshlea","Limerick","Munster","Ireland"
40000019,"Ballinrannig (Ogham Site)","POINT(-10.386111 52.176111)","Q85394310","Ballinrannig","Corkaguiny","Kerry","Munster","Ireland"
40000020,"Ballintaggart (Ogham Site)","POINT(-10.031111 52.1725)","Q85393964","Ballintaggart","Corkaguiny","Kerry","Munster","Ireland"
40000021,"Ballintermon (Ogham Site)","POINT(-10.031389 52.155278)","Q85395620","Ballintermon","Corkaguiny","Kerry","Munster","Ireland"
40000022,"Ballinvoher (Ogham Site)","POINT(-10.159444 52.186944)","Q85395552","Coumanare","Corkaguiny","Kerry","Munster","Ireland"
40000023,"Balloughton (Ogham Site)","POINT(-6.720556 52.250556)","Q85391707","Balloughton","Bargy","Wexford","Leinster","Ireland"
40000024,"Ballyandreen (Ogham Site)","POINT(-10.0375 52.165833)","Q85395515","Ballyandreen","Corkaguiny","Kerry","Munster","Ireland"
40000025,"Ballybarrack (Ogham Site)","POINT(-6.43833 53.98278)","Q106626868","Ballybarrack","Dundalk Upper","Louth","Leinster","Ireland"
40000026,"Ballyboodan (Ogham Site)","POINT(-7.231111 52.471944)","Q69378747","Ballyboodan","Knocktopher","Kilkenny","Leinster","Ireland"
40000027,"Ballybroman (Ogham Site)","POINT(-9.746467 52.32801)","Q106628064","Tubrid More","Clanmaurice","Kerry","Munster","Ireland"
40000028,"Ballyeightragh (Ogham Site)","POINT(-10.323333 52.160556)","Q85395517","Ballyeightragh","Corkaguiny","Kerry","Munster","Ireland"
40000029,"Ballyelan (Ogham Site)","POINT(-8.823889 52.4575)","Q85396834","Ballyelan","Connello Upper","Limerick","Munster","Ireland"
40000030,"Ballyhank (Ogham Site)","POINT(-8.608333 51.838611)","Q85394010","Ballyhank","Muskerry East","Cork","Munster","Ireland"
40000031,"Ballyknock (Ogham Site)","POINT(-8.071111 52.026944)","Q85394270","Ballyknock","Kinatalloon","Cork","Munster","Ireland"
40000032,"Ballymorereagh (Ogham Site)","POINT(-10.3275 52.151389)","Q85395592","Ballymorereagh","Corkaguiny","Kerry","Munster","Ireland"
40000033,"Ballynabortagh (Ogham Site)","POINT(-8.453333 52.010278)","Q85393914","Ballynabortagh","Barrymore","Cork","Munster","Ireland"
40000034,"Ballynahunt (Ogham Site)","POINT(-10.029722 52.1875)","Q85395518","Ballynahunt","Corkaguiny","Kerry","Munster","Ireland"
40000035,"Ballyquin (Ogham Site)","POINT(-7.385 52.311111)","Q85396916","Ballyquin","Upperthird","Waterford","Munster","Ireland"
40000036,"Ballyspellan (Ogham Site)","POINT(-7.524444 52.76)","Q85391701","Ballyspellan","Galmoy","Kilkenny","Leinster","Ireland"
40000037,"Ballyvellon (Ogham Site)","POINT(-7.226667 52.185)","Q85396997","Ballyvellon","Middlethird","Waterford","Munster","Ireland"
40000038,"Ballyvoony (Ogham Site)","POINT(-7.439167 52.133333)","Q85396847","Ballyvoony","Decies without Drum","Waterford","Munster","Ireland"
40000039,"Ballywiheen / Cahernagat (Ogham Site)","POINT(-10.400833 52.155833)","Q85395519","Ballywiheen","Corkaguiny","Kerry","Munster","Ireland"
40000040,"Baltinglass (Ogham Site)","POINT(-6.624444 52.966389)","Q85391683","Spinans Hill","Talbotstown Upper","Wicklow","Leinster","Ireland"
40000041,"Barnaveddoge (Ogham Site)","POINT(-6.476667 53.845)","Q85391668","Barnaveddoge","Ardee","Louth","Leinster","Ireland"
40000042,"Barrahaurin (Ogham Site)","POINT(-8.818333 52.015833)","Q69378412","Barrahaurin","Muskerry East","Cork","Munster","Ireland"
40000043,"Bawnaglanna (Ogham Site)","POINT(-9.438889 52.1425)","Q85396897","Bawnaglanna","Trughanacmy","Kerry","Munster","Ireland"
40000044,"Bishop's Island (Ogham Site)","POINT(-8.360556 52.008611)","Q85393915","Bishop'S-Island","Barrymore","Cork","Munster","Ireland"
40000045,"Boleycarrigeen (Ogham Site)","POINT(-6.608898 52.947012)","Q85391685","Boleycarrigeen","Talbotstown Upper","Wicklow","Leinster","Ireland"
40000046,"Brackhill / Brakel (Ogham Site)","POINT(-9.687778 52.161944)","Q85396931","Brackhill","Trughanacmy","Kerry","Munster","Ireland"
40000047,"Brackloon (Ogham Site)","POINT(-10.036389 52.146944)","Q85395554","Brackloon","Corkaguiny","Kerry","Munster","Ireland"
40000048,"Brandon Mountain (Ogham Site)","POINT(-10.159444 52.186944)","Q85395555","Coumanare","Corkaguiny","Kerry","Munster","Ireland"
40000049,"Breastagh (Ogham Site)","POINT(-9.248056 54.248611)","Q85390394","Breastagh","Tirawley","Mayo","Connacht","Ireland"
40000050,"Brookhill (Ogham Site)","POINT(-9.736282 52.067482)","Q106628062","Brookhill","Dunkerron North","Kerry","Munster","Ireland"
40000051,"Bunkilla (Ogham Site)","POINT(-8.69389 51.97722)","Q106626869","Bunkilla","Muskerry East","Cork","Munster","Ireland"
40000052,"Burgatia / Teampuleen Fachtna (Ogham Site)","POINT(-9.0125 51.577778)","Q85393931","Burgatia","Carbery East (West Division)","Cork","Munster","Ireland"
40000053,"Burnfort (Ogham Site)","POINT(-8.599444 52.068056)","Q85393991","Burnfort","Barretts","Cork","Munster","Ireland"
40000054,"Burnham East (Ogham Site)","POINT(-10.306944 52.125833)","Q85395594","Burnham East","Corkaguiny","Kerry","Munster","Ireland"
40000055,"Camp Ogham Site (Ogham Site)","POINT(-9.910278 52.215)","Q85395556","Camp","Corkaguiny","Kerry","Munster","Ireland"
40000056,"Canburrin (Ogham Site)","POINT(-10.166667 51.921111)","Q85395576","Canburrin","Iveragh","Kerry","Munster","Ireland"
40000057,"Carhoovauler (Ogham Site)","POINT(-8.956111 51.688333)","Q85393926","Carhoovauler","Carbery East (East Division)","Cork","Munster","Ireland"
40000058,"Carncome (Ogham Site)","POINT(-6.183333 54.803056)","Q85392806","Carncome","Antrim Lower","Antrim","Ulster","Northern Ireland"
40000059,"Carrigagulla (Ogham Site)","POINT(-8.909167 52.0075)","Q85393943","Carrigagulla","Muskerry West","Cork","Munster","Ireland"
40000060,"Castlegrace (Ogham Site)","POINT(-6.74288 52.762953)","Q106628035","Castlegrace","Forth","Carlow","Leinster","Ireland"
40000061,"Castlekeeran (Ogham Site)","POINT(-6.96 53.735833)","Q85391673","Castlekeeran","Kells Upper","Meath","Leinster","Ireland"
40000062,"Castletimon (Ogham Site)","POINT(-6.063611 52.909167)","Q85391708","Castletimon","Arklow","Wicklow","Leinster","Ireland"
40000063,"Church Island (Ogham Site)","POINT(-10.2832 51.9376)","Q106626870","Church Island","Iveragh","Kerry","Munster","Ireland"
40000064,"Churchclara (Ogham Site)","POINT(-7.150556 52.651389)","Q85391656","Churchclara","Gowran","Kilkenny","Leinster","Ireland"
40000065,"Churchfield (Ogham Site)","POINT(-10.170106 52.140298)","Q106628058","Churchfield","Corkaguiny","Kerry","Munster","Ireland"
40000066,"Cloghabrody (Ogham Site)","POINT(-7.13778 52.53472)","Q106626871","Cloghabrody","Gowran","Kilkenny","Leinster","Ireland"
40000067,"Cloghanecarhan (Ogham Site)","POINT(-10.176944 51.894167)","Q85395549","Cloghanecarhan","Iveragh","Kerry","Munster","Ireland"
40000068,"Cloheena (Ogham Site)","POINT(-9.134153 51.904032)","Q106628049","Cloheena","Muskerry West","Cork","Munster","Ireland"
40000069,"Clonmacnoise (Ogham Site)","POINT(-7.985726 53.326779)","Q106628033","Clonmacnoise","Garrycastle","Offaly","Leinster","Ireland"
40000070,"Clonmore (Ogham Site)","POINT(-6.573611 52.826389)","Q85391717","Clonmore","Rathvilly","Carlow","Leinster","Ireland"
40000071,"Cloonmorris (Ogham Site)","POINT(-7.870556 53.816389)","Q85390407","Cloonmorris","Mohill","Leitrim","Connacht","Ireland"
40000072,"Cockhill / Kilnaughtin (Ogham Site)","POINT(-9.421389 52.566667)","Q85395548","Cockhill","Iraghticonnor","Kerry","Munster","Ireland"
40000073,"Colbinstown / Killeen Cormac (Ogham Site)","POINT(-6.756389 53.031111)","Q85391762","Colbinstown","Narragh and Reban East","Kildare","Leinster","Ireland"
40000074,"Cool East / Killeenadreena (Ogham Site)","POINT(-10.365556 51.912222)","Q85395579","Cool East","Iveragh","Kerry","Munster","Ireland"
40000075,"Cooldorragha (Ogham Site)","POINT(-9.026388888 51.841944444)","Q85393945","Cooldorragha","Muskerry West","Cork","Munster","Ireland"
40000076,"Coolineagh (Ogham Site)","POINT(-8.823889 51.955833)","Q85394077","Coolineagh","Muskerry East","Cork","Munster","Ireland"
40000077,"Coolmagort (Ogham Site)","POINT(-9.642778 52.061111)","Q69379704","Coolmagort","Dunkerron North","Kerry","Munster","Ireland"
40000078,"Coolowen (Ogham Site)","POINT(-8.539722 51.957778)","Q85394074","Coolowen","Cork","Cork","Munster","Ireland"
40000079,"Coomleagh East / Coomlia (Ogham Site)","POINT(-9.283611 51.733056)","Q85394096","Coomleagh East","Bantry","Cork","Munster","Ireland"
40000080,"Corkaboy (Ogham Site)","POINT(-9.771944 52.165833)","Q85396820","Corkaboy","Trughanacmy","Kerry","Munster","Ireland"
40000081,"Corrower (Ogham Site)","POINT(-9.083889 54.074444)","Q85390388","Corrower","Gallen","Mayo","Connacht","Ireland"
40000082,"Cotts (Ogham Site)","POINT(-6.4275 52.215278)","Q85391675","Cotts","Forth","Wexford","Leinster","Ireland"
40000083,"Coumeenoole North / Dunmore Head (Ogham Site)","POINT(-10.458333 52.111944)","Q85395557","Coumeenoole North","Corkaguiny","Kerry","Munster","Ireland"
40000084,"Coumlanders (Ogham Site)","POINT(-10.175484 52.125339)","Q106626872","Coumlanders","Corkaguiny","Kerry","Munster","Ireland"
40000085,"Crag (Ogham Site)","POINT(-9.5325 52.191667)","Q85396823","Crag","Trughanacmy","Kerry","Munster","Ireland"
40000086,"Crehanagh South (Ogham Site)","POINT(-7.391111 52.330556)","Q85396978","Crehanagh South","Upperthird","Waterford","Munster","Ireland"
40000087,"Crinnaloo North (Ogham Site)","POINT(-8.928056 52.066667)","Q85393948","Crinnaloo North","Muskerry West","Cork","Munster","Ireland"
40000088,"Crushterra (Ogham Site)","POINT(-9.132804 51.792584)","Q106628048","Crushterra","Carbery East (West Division)","Cork","Munster","Ireland"
40000089,"Curraghmore East (Ogham Site)","POINT(-9.621667 52.208611)","Q85395570","Curraghmore East","Trughanacmy","Kerry","Munster","Ireland"
40000090,"Curraghnagarraha (Ogham Site)","POINT(-7.379167 52.324167)","Q85396866","Curraghnagarraha","Upperthird","Waterford","Munster","Ireland"
40000091,"Cush of Grange (Ogham Site)","POINT(-7.755833 51.988333)","Q85396845","Cush Of Grange","Decies Within Drum","Waterford","Munster","Ireland"
40000092,"Darrynane Beg (Ogham Site)","POINT(-10.122222 51.773056)","Q85395573","Darrynane Beg","Dunkerron South","Kerry","Munster","Ireland"
40000093,"Deelish (Ogham Site)","POINT(-8.887778 51.940833)","Q85393938","Deelish","Muskerry East","Cork","Munster","Ireland"
40000094,"Derrygarrane South (Ogham Site)","POINT(-9.746667 51.91)","Q85395602","Derrygarrane South","Dunkerron South","Kerry","Munster","Ireland"
40000095,"Derrygarriv (Ogham Site)","POINT(-9.665 51.974444)","Q85395535","Derrygarriv","Dunkerron North","Kerry","Munster","Ireland"
40000096,"Dingle Ogham Site (Ogham Site)","POINT(-10.27 52.14)","Q85395597","Dingle","Corkaguiny","Kerry","Munster","Ireland"
40000097,"Donaghmore (Ogham Site)","POINT(-6.551111 53.375278)","Q85391654","Donaghmore","Salt North","Kildare","Leinster","Ireland"
40000098,"Donard (Ogham Site)","POINT(-6.617778 53.016944)","Q85391710","Donard Lower","Talbotstown Lower","Wicklow","Leinster","Ireland"
40000099,"Dooghmakeon (Ogham Site)","POINT(-9.87 53.746389)","Q85390429","Dooghmakeon","Murrisk","Mayo","Connacht","Ireland"
40000100,"Dromatouk (Ogham Site)","POINT(-9.525833 51.885278)","Q85395543","Dromatouk","Glanarought","Kerry","Munster","Ireland"
40000101,"Dromkeare (Ogham Site)","POINT(-10.113611 51.848056)","Q85395550","Dromkeare","Iveragh","Kerry","Munster","Ireland"
40000102,"Dromlusk (Ogham Site)","POINT(-9.786667 51.881111)","Q85395540","Dromlusk","Dunkerron South","Kerry","Munster","Ireland"
40000103,"Dromore Ogham Site (Ogham Site)","POINT(-7.848889 52.064444)","Q85396907","Dromore","Decies Within Drum","Waterford","Munster","Ireland"
40000104,"Drumconwell (Ogham Site)","POINT(-6.655278 54.307222)","Q85392810","Drumconwell","Fews Lower","Armagh","Ulster","Northern Ireland"
40000105,"Drummin (Ogham Site)","POINT(-8.362222 53.84)","Q85390417","Drummin","Castlereagh","Roscommon","Connacht","Ireland"
40000106,"Dun Laoghaire (Ogham Site)","POINT(-6.142222 53.293333)","Q85391699","Dunleary","Rathdown","Dublin","Leinster","Ireland"
40000107,"Dunalis Upper (Ogham Site)","POINT(-6.744444 55.116667)","Q85392833","Dunalis Upper","Coleraine","Londonderry","Ulster","Northern Ireland"
40000108,"Dunbell Big (Ogham Site)","POINT(-7.172222 52.617778)","Q85391719","Dunbell Big","Gowran","Kilkenny","Leinster","Ireland"
40000109,"Dunbulloge (Ogham Site)","POINT(-8.452778 51.980833)","Q85393918","Dunbulloge","Barrymore","Cork","Munster","Ireland"
40000110,"Dungummin (Ogham Site)","POINT(-7.209444 53.794444)","Q85392823","Dungummin Upper","Clanmahon","Cavan","Ulster","Ireland"
40000111,"Dunmanway (Ogham Site)","POINT(-9.112042 51.714579)","Q106628046","Tonafora","Carbery East (West Division)","Cork","Munster","Ireland"
40000112,"Emlagh East (Ogham Site)","POINT(-10.228056 52.133056)","Q85395559","Emlagh East","Corkaguiny","Kerry","Munster","Ireland"
40000113,"Emlagh West (Ogham Site)","POINT(-10.270556 52.135278)","Q85395521","Emlagh West","Corkaguiny","Kerry","Munster","Ireland"
40000114,"Ennis Ogham Site (Ogham Site)","POINT(-8.9807 52.8463)","Q85394775","Clonroad Beg","Islands","Clare","Munster","Ireland"
