id|label|name_caps
400001|acto|ACTO
400002|adarun|[A]DARUN
400003|addilona|ADDILONA
400004|agill|AGILL[--
400005|ailithir|AILITHIR
400006|ailuattan|AILUATTAN
400007|akeras|AKERAS
400008|akevritti|AKEVRITTI
400009|alaca|ALACA[--
400010|alatto|ALATTO
400011|alattos|ALATTOS
400012|alini|ALINI
400013|allato|ALLATO
400014|alotto|ALOTTO
400015|amadu|AMADU
400016|ammllogwitt|AMMLLOGWITT
400017|an|AN[--]
400018|anavlamattias|ANAVLAMATTIAS
400019|assicona|ASSICONA
400020|atar|ATAR
400021|athecetamain|ATHECETAMAIN
400022|auss|AU[.]S[.]S[.]
400023|baedan|BAEDAN
400024|bagni|[--]BAGNI
400025|baidagni|B[AID]AGNI
400026|baidani|BAIDANI
400027|bait|BAIT
400028|bari|BARI
400029|battigni|BATTIGNI
400030|bbrannad|BBRANNAD
400031|beccdinn|BECCDINN
400032|bigu|BIGU
400033|bir|BIR
400034|biraco|BIRACO
400035|birrac|BIRRAC
400036|bivaidonas|BIVAIDONAS
400037|biviti|BIVITI
400038|bivodon|BIVODON
400039|blategsi|BLATEGSI
400040|bogai|BOGAI
400041|branaddov|BRANADDOV
400042|branaddovma|BRANADDOVMA
400043|branan|BRANAN
400044|brani|BRANI
400045|branittas|BRANITTAS
400046|branogeni|BRANOGENI
400047|brocagni|BROCAGNI
400048|brocann|BROCANN
400049|brocc|BROCC
400050|broci|BROCI
400051|broenionas|BROENIONAS?
400052|broinienas|BROINIENAS
400053|broinionas|BRO[INION]AS
400054|brruanann|BRRUANANN
400055|brusccos|BRUSCCOS
400056|brusco|BRUSCO
400057|caggi|CAGG[I]
400058|caginadi|CAGINADI
400059|caliaci|CALIACI
400060|caliacias|CALIACI[AS]
400061|calliti|CALLITI
400062|calumann|CALUMANN
400063|calunovica|CALUNOVICA
400064|cari|CARI
400065|carrttacc|CARRTTACC
400066|casoni|CASONI
400067|cassittas|C[A]SSITT[A]S
400068|catabar|CATABAR
400069|cattabbott|CATTABBOTT
400070|cattini|CATTINI
400071|cattubuttas|CATTUBUTTAS
400072|cattuvir|CATTUVIR
400073|cattuvvirr|CATTUVVIRR
400074|catuviqqa|CATUV[IQQA]
400075|catvvirr|CATVVIRR
400076|ccicamini|CCICAMINI
400077|ccilari|CCILARI
400078|cedattoqa|CEDATTOQA
400079|celi|--]CELI
400080|cerani|CERANI
400081|cerc|CERC[--
400082|cila|CI[--]LA
400083|cliucoanas|CLIUCOANAS
400084|co|CO[--
400085|cobba|[CO]BB[A]
400086|cobranora|COBRANORA?
400087|cobranorigas|COBRANOR[IGAS]
400088|coillabbotas|COILLABBOTAS
400089|coilli|COILLI
400090|coimagni|COIMAGNI
400091|colabot|COLABOT
400092|collabot|COLLABOT
400093|collabota|COLLABOTA
400094|colli|COLLI
400095|collos|COLLOS
400096|colman|COLMAN
400097|colomagni|COLOMAGNI
400098|comgann|COMGANN
400099|commaggagni|COMMAGGAGNI
400100|comogann|COMOGANN
400101|conann|CONANN
400102|conunett|CONUNETT
400103|conuri|CONURI
400104|corbagn|CORBAGN
400105|corbagni|CORBAGNI
400106|corbbi|CORBBI
400107|corbi|CORBI
400108|coribiri|CORIBIRI
400109|corotani|COROTANI
400110|corrbri|CORRBRI
400111|corre|CORRE
400112|coscisn|COSCIS/N
400113|covagni|COVAGNI
400114|covaloti|COVALOTI
400115|croccan|CROCCAN
400116|cronun|CRONUN
400117|crunan|CRUNAN
400118|csalar|C[....]SALAR
400119|culidovi|CULIDOVI
400120|culrigai|CULRIGAI
400121|cumni|CUMNI
400122|cumogoduu|CUMOGODUU
400123|cunacena|CUNACENA
400124|cunagusos|CUNAGUSOS
400125|cunagussos|CUNAGUSSOS
400126|cunalegea|CUNALEGEA
400127|cunalegi|CUNALEGI
400128|cunalig|CUNALIG-
400129|cunamaqi|[CU]NAMAQI
400130|cunamaqqi|CUNAMAQQI
400131|cunamaqqicorbbi|CUNAMAQQI CORBBI
400132|cunanetas|CUNANETAS
400133|cunea|CUNEA
400134|cunia|CUNIA
400135|cunitti|CUNITTI
400136|cunnetas|CUNNETAS
400137|cunovato|CUNOVATO
400138|cunuri|CUNURI
400139|curci|CURCI
400140|curciti|CURCITI
400141|curcitti|CURCITTI
400142|curit|CUR[I]T
400143|d|D[--
400144|daimagni|DAIMAGNI
400145|dalagni|DALAGNI
400146|dali|DALI
400147|dalo|DALO
400148|daquma|D[A]Q[U]MA
400149|deagos|DEAGOS
400150|debrani|DEBRANI
400151|deglann|DEGLANN
400152|dego|DEGO
400153|degos|DEGOS
400154|denaveca|DENAVECA
400155|dercmasoc|DERCMASOC
400156|dilogonn|DILOGONN
400157|dimaqa|DIMAQA
400158|dineglo|DINEGLO
400159|diobi|DIOBI
400160|docranori|DOCRANORI
400161|doligenn|DOLIGENN
400162|domaneqi|DOMANEQI
400163|dommo|DOMMO
400164|domna|DOMNA
400165|domngen|DOMNGEN
400166|domnginn|DOMNGINN
400167|domoki|DOMOKI
400168|domonigart|DOMONIGART
400169|dotetto|DOTETTO
400170|dovalesci|DOVALESCI
400171|dovattac|DOVATTAC
400172|dovatuci|DOVATUCI
400173|doveti|DOVETI
400174|dovi|DOVI[--
400175|dovinia|DOVINIA
400176|dovinias|DOVINIAS
400177|dovvinia|DOVVINIA
400178|dovvinias|DOVVINIAS
400179|drogno|DROGNO
400180|drugno|DRUGNO
400181|drutiquli|DRUTIQULI
400182|dubonirras|DUBONIRRAS
400183|ducovaros|DUCOVAROS
400184|ducridda|DUCRIDDA
400185|ducuri|DUCURI
400186|dugennggi|DUGENNGG[I]
400187|dugenngi|DUGENNGI
400188|dumeli|DUMELI
400189|dunaidonas|DUNAIDONAS
400190|duns|DUN[--]S
400191|ecc|--]ECC
400192|egni|[--]EGNI
400193|elisa|ELISA
400194|elti|ELTI
400195|ena|ENA
400196|eqod|EQOD[--
400197|eqoddi|EQODDI
400198|eqqeggni|EQQEGGNI
400199|eracias|ERACIAS
400200|eracobi|ERACOBI
400201|eraquetri|ERAQUETRI
400202|erati|...ERATI
400203|erc|ERC
400204|erca|ERCA
400205|ercagni|ERCAGNI
400206|ercaidana|ERCAIDANA
400207|ercaviccas|ERCAVICCAS
400208|ercias|E[R]CIAS
400209|eri|ER[--]I
400210|erpenn|ERPENN
400211|errlona|--]ERRLONA
400212|esea|ESEA
400213|etorigas|[--]ETORIGAS
400214|fattillogg|FATTILLOGG
400215|finten|[F]INTEN
400216|galeotos|GALEOTOS
400217|gamati|GAMATI
400218|gamicunas|GAMICUNAS
400219|ganicca|GANICCA
400220|gati|GATI
400221|gattagni|GATTAGN[I]
400222|gatteglan|GATTEGLAN
400223|genittac|GENITTAC
400224|gglannani|GGLANNANI
400225|ggo|--]GGO
400226|gguss|--]GGUSS
400227|giragni|GIRAGNI
400228|glannani|GLANNANI
400229|glasiconas|GLASICONAS
400230|glunlegget|GLUNLEGGET
400231|gni|--]GNI
400232|gosoctas|GOSOCTAS
400233|gosocteas|GOSOCTEAS
400234|gossucttias|GOSSUCTTIAS
400235|gravicas|GRAVICAS
400236|grilagni|GRILAGNI
400237|grimiggni|GRIMIGGN[I]
400238|iaqini|IAQINI
400239|iarni|IARNI
400240|ileh|--]ILEH
400241|ineqaglas|INEQAGLAS
400242|inissionas|INISSIONAS
400243|irccitos|IRCCITOS
400244|isammnn|ISAMMNN?
400245|iuacattos|IUACATTOS
400246|ivacattos|IVACATTOS
400247|ivageni|IVAGENI
400248|ivodacca|IVODACCA
400249|labrid|LABRID
400250|lacavagni|LACAVAGNI
400251|laddigni|LADDIGNI
400252|ladimani|LADIMANI
400253|lag|LAG[...
400254|lagobb|L[A]G[O]BB[--
400255|laidann|LAIDANN
400256|laiscemita|LAISCEMITA
400257|lamadilicci|LAMADILICCI
400258|liteni|LITENI
400259|litubiri|LITUBIRI
400260|llatigni|LLATIGNI
400261|llogiddeas|LLOGIDDEAS
400262|llominacca|LLOMINACCA
400263|llonnocc|LLONNOCC
400264|lloteti|LLOTETI
400265|lobac|LOBAC[--
400266|lobaccona|LOBACCONA
400267|lobacona|[LO]BACONA
400268|lobbi|LOBBI
400269|locarenas|LOCARENAS
400270|lodimoni|LODIMONI
400271|loga|LOGA
400272|logideas|LOGIDEAS
400273|logitti|LOGITTI
400274|lonamni|LONAMNI
400275|lonas|--]LONAS
400276|losagni|LOSAGN[I]
400277|lubbais|LUBBAIS
400278|luga|LUGA
400279|lugaddon|LUGADDON
400280|luguaedon|LUGUAEDON
400281|lugudec|LUGUDEC
400282|lugudeca|LUGUDECA
400283|lugudecas|LUGUDECAS
400284|lugudeccas|LUGUDECCAS
400285|lugudi|LUGUDI
400286|luguduc|LUGUDUC
400287|luguni|LUGUNI
400288|luguqqrittas|LUGUQQRITTAS
400289|luguqrit|LUGUQRIT
400290|luguqrrit|L[UGUQ]RRIT
400291|lugutti|LUGUTTI
400292|luguvvec|LUGUVVEC
400293|luguvvecca|LUGUVVECCA
400294|luqin|LUQIN
400295|macorbo|MACORBO?
400296|madora|MADORA
400297|maelfinnia|MAELFINNIA
400298|magann|MAGANN
400299|maglani|MAGLANI
400300|mago|--]MAGO
400301|mailagni|MAILAGNI
400302|maileinbir|MAILE-INBIR
400303|mailoguro|MAILOGURO
400304|makini|MAKINI
400305|manu|MANU
400306|maqacto|MAQ-ACTO
400307|maqiainia|MAQI-AINIA
400308|maqibri|MAQI-BRI[--
400309|maqicairatini|MAQI-CAIRATINI
400310|maqicarattinn|MAQI-CARATTINN
400311|maqicorabir|MAQI-CORABIR
400312|maqicunalig|MAQI-CUNALIG...
400313|maqiddecceda|MAQI-DDECCEDA
400314|maqiddumileas|MAQI-DDUMILEAS
400315|maqidecceda|MAQI-DECCEDA
400316|maqidecceddas|MAQI-DECCEDDAS
400317|maqideceda|MAQI-DECEDA
400318|maqidecedas|MAQI-DECEDAS
400319|maqidumileas|MAQI-DUMILEAS
400320|maqieracias|MAQI-ERACIAS
400321|maqiercias|MAQI-ERCIAS
400322|maqiesea|MAQI-ESEA
400323|maqiini|MAQI-INI...
400324|maqil|MAQIL
400325|maqiliag|MAQI-LIAG
400326|maqioc|MAQI-OC[--
400327|maqirec|MAQI-REC[--
400328|maqiretc|MAQI-RET/C...
400329|maqirite|MAQI-RITE
400330|maqiriteas|MAQI-RITEAS
400331|maqiritte|MAQI-RITTE
400332|maqirodagni|MAQI-RODAGNI
400333|maqitreni|[MAQI-T]RENI
400334|maqittal|MAQI-TTAL
400335|maqqidecedda|MAQQI-DECEDDA
400336|maqqierccia|MAQQI-ERCCIA
400337|maqqierccias|MAQQI-ERCCIAS
400338|maqqiiari|MAQQI-IARI
400339|maqqilasiren|MAQQI-LASIRE(N)
400340|maqqiqetti|MAQQI-QETTI
400341|mariani|MARIANI
400342|marin|MARIN
400343|medalo|MEDALO
400344|meddogeni|MEDDOGENI
400345|medusi|MEDUSI
400346|medvvi|MEDVVI
400347|melagia|MELAGIA
400348|menueh|MENUEH
400349|menumaqi|MENUMAQ[I]
400350|meutini|MEUTINI
400351|micanavvi|MICANAVVI
400352|minerc|MINERC?
400353|minnaccanni|MINNACCANNI
400354|mocurruti|MOCURRUTI
400355|moddagni|MODDAGN[I]
400356|moesac|MOESAC
400357|mogwedias|MOGWEDIAS
400358|mogwunilocid|MOGWUNILOCID
400359|moinena|MOINENA
400360|molegomrid|MOLEGOMRID
400361|mongedias|MONGEDIAS
400362|mounin|MOUNIN
400363|mucci|MUCCI
400364|muibiti|MUIBITI
400365|municcona|MUNICCONA
400366|municona|MUNICONA
400367|naguni|NAGUNI
400368|nai|[--]NAI
400369|nami|--]NAMI
400370|navallo|NAVALLO
400371|neagracolinea|NEAGRACOLINEA
400372|neggni|[--]NEGGNI
400373|netacagi|NETA-CAGI
400374|netacari|NETA-CARI
400375|netacunas|NETACUNAS
400376|netancunas|NE[TANCUN]AS
400377|netasalagia|NETA-SALAGIA?
400378|netasegamonas|NETA-SEGAMONAS
400379|netavroqi|NETAVROQI
400380|nettacunas|NETTACU[NAS]
400381|nettalaminacca|NETTA-LAMINACCA
400382|nettaslogi|NETTASLOGI
400383|nettattrenalugos|NETTA-TTRENALUGOS
400384|nettavrecc|NETTAVRECC
400385|nettavroicc|NETTAVROICC
400386|nili|NILI
400387|niotta|NIOTTA
400388|niottvrecc|NIOTTVRECC
400389|nisigni|NISIGNI
400390|noarra|NOARRA
400391|nocati|NOCATI
400392|nuadat|NUADAT
400393|odrrea|ODR...REA
400394|oeluri|--]OELURI
400395|ogala|OGALA
400396|ogatos|OGATOS
400397|oggodika|[--][O]GGODIKA
400398|olacon|OLACON
400399|olagni|OLAGNI
400400|oqoli|OQOLI
400401|oribrassia|ORIBRASSIA
400402|ornecnus|ORNECNUS
400403|osbbar|OSBBAR
400404|otani|--]OTANI
400405|ottinn|OTTINN
400406|ovanos|OVANOS
400407|qasigni|QASIGNI
400408|qci|Q[--]CI
400409|qeccias|QECCIAS?
400410|qecia|QECIA
400411|qenilocgni|QENILOCGNI
400412|qeniloci|QENILOCI
400413|qenuven|QENUVEN[--
400414|qerai|QERAI
400415|qetais|QETAIS
400416|qetiass|QET[IAS?]S
400417|qetteas|[QE]TTEAS
400418|qic|QIC[--
400419|qlog|QLOG
400420|qregas|QREGAS
400421|qrit|QRIT[--]
400422|qritti|QRITTI
400423|queci|QUECI
400424|queniloc|QUENILOC
400425|qunacanos|QUNACANOS
400426|qveci|QVECI
400427|ragavvecc|RAGAVVECC
400428|recta|RECTA
400429|retagin|RETAGIN
400430|rettavvecass|RE[TTA]VVECASS
400431|rini|RINI
400432|rittavveccas|RITTAVVECCAS
400433|rittecc|RITTECC
400434|rittuvvecc|RITTUVVECC
400435|rituvvecas|RITUVVECAS
400436|rodagni|RODAGNI
400437|roddos|RODDOS
400438|ronann|RONANN
400439|rottais|ROTTAIS
400440|rtagni|--]RTAGNI
400441|ruteni|RUTENI
400442|s|S[--
400443|sacattini|SACATTINI
400444|sagarettos|SAG(A)RETTOS
400445|sagittari|SAGITTARI
400446|saina|SAINA
400447|salagia|SALAGIA
400448|sammnn|SAMMNN
400449|scamagni|SCAMAGNI
400450|scilagni|SCILAGNI
400451|sdanbi|SDANBI
400452|secidari|SECIDARI
400453|sedani|SEDANI
400454|seddoini|SEDDOINI
400455|senaq|SENAQ
400456|severrit|SEVERRIT
400457|sidani|SIDANI
400458|sillann|SILLANN
400459|sogini|SOGINI
400460|sonnocc|SONNOCC
400461|sovalini|SOVALINI
400462|srusa|SRUSA
400463|suvallos|SUVALLOS
400464|talagni|TALAGNI
400465|tan|TAN...
400466|taqmaqo|TAQMAQO[--
400467|tasegagni|TASEGAGNI
400468|tegann|TEGANN
400469|tegg|TEGG[--
400470|teluna|[T]ELUNA
400471|temoca|TEMOCA
400472|tenaci|TENAC[I]
400473|tenas|TENAS
400474|thurgrim|[TH]URGRIM
400475|tidonna|TIDONN[A]
400476|tigirn|TIGIRN
400477|tobira|TOBIRA
400478|togittac|TOGITTAC
400479|togittacci|TOGITTACC[I]?
400480|toicac|TOICAC
400481|toicaci|TOICACI
400482|toicaki|TOICAKI
400483|toraesceusas|TORAESCEUSAS
400484|toroqrim|TOROQR[IM]
400485|trenaluggo|TRENALUGGO?
400486|trenilu|TRENIL[U][--
400487|treno|TRENO
400488|trenu|TRENU
400489|ttrenalugos|TTRENALUGOS
400490|tucacac|TUCACAC
400491|tulotanagia|TULOTANAGIA
400492|turanias|TURANIAS
400493|u|--]U
400494|uddami|UDDAMI
400495|uddglomett|UDD[GLO]METT
400496|uddmensa|UDDMENSA
400497|ulccagni|ULCCAGNI
400498|umall|[--]UMALL[--]
400499|v|V[--
400500|vagni|--]VAGNI
400501|vaitevia|VAITEVIA
400502|valamni|VALAMNI
400503|valuvi|VALUVI
400504|vattillogg|VATTILLOGG
400505|vecrec|VECREC
400506|vecumen|VECUMEN
400507|vedabar|VEDABAR
400508|vedacuna|VEDACUNA
400509|veddellemetto|VEDDELLEMETTO
400510|veddonos|VEDDONOS
400511|vedelmeto|VEDELMETO
400512|vedelmett|VEDELMETT
400513|vedlloiggoi|VEDLLOIGGOI
400514|veduceri|VEDUCERI
400515|veni|VENI
400516|veqikami|VEQIKAMI
400517|veqoanai|VEQOANAI
400518|veqreq|VEQREQ
400519|vergoso|VERGOSO
400520|videttas|VIDETTAS
400521|vinnagitlet|VINNAGITLET[--
400522|viragni|VIRAGNI
400523|viricorb|VIRICORB
400524|virranni|VIRR[--]ANNI
400525|vitalin|VITALIN
400526|vlatiami|VLATIAMI
400527|vlisacesucmir|VLISACESUCMIR
400528|vobaraci|VOBARACI
400529|vocagni|VOCAGNI
400530|voenacunas|VOENACUNAS
400531|vorgos|VORGOS
400532|vorrtigurn|VORRTIGURN
400533|vortigurn|VORTIGURN
400534|vorudran|VORUDRAN
400535|voti|VOTI
400536|vraicci|VRAICCI
400537|vu|VU[--]
400538|vuruddrann|VURUDDRANN
